"EID","Title","DOI","Abstract","asreview_label_Valentin","asreview_label_Clara"
"2-s2.0-85196150861","Immediate Impacts of Air Pollution on the Performance of Football Players","10.1177/15270025241260031","Understanding the immediate impacts of air pollution is crucial, especially as non-health outcomes like player productivity are covert. This paper focuses on investigating the causal relationship between air pollution and player productivity, which is theoretically established by the health consequences of air pollution and the Grossman health production function. The dataset used comprises over 20,000 observations from 1,440 matches in the Chinese Football Association Super League from 2014 to 2019. The IV estimation results show that a 1% increase in air pollution results in a reduction of 0.101% in the number of passes, which is five times larger than the OLS estimation. Heterogeneity results suggest that possessing an advantage (physical fitness, technical skills, or playing at home) contributes to mitigating the adverse effects of air pollution. This study underscores the critical role of clean air in enabling football players to achieve high productivity in the game. © The Author(s) 2024.",1,1
"2-s2.0-85213569559","The impact of transient air pollution exposure on worker performance in Chinese soccer players","10.1038/s41598-024-82322-w","Using a unique dataset on the performance of soccer players in China (retrieved from 632 matches involving 24 teams during the 2014 to 2016 seasons), we investigate the effect of air pollution on different performance indicators that rely on different mixtures of the physical and cognitive inputs of players. To ensure a causal interpretation, we implement an instrumental variable (IV) approach using thermal inversion as the instrument for air pollution. We found that players’ performance indicators, especially those more related to cognitive factors, are more strongly influenced by air pollution. One standard deviation (SD) increase in the Air Quality Index (AQI) leads to 2.5% decrease in the number of players’ passes and 5.1% increase in the number of fouls. However, for performance indicators that are more related to players’ physical condition, e.g., running distances, no such significant impact is identified. Overall, these findings suggest that the negative impact of short-term air pollution exposure on outdoor worker performance is mainly cognitive, which we believe could lead to important policy implications, not only for competitive sports but also across a much broader spectrum of business sectors. © The Author(s) 2024.",1,1
"2-s2.0-85113165430","Impact of air pollution on labor productivity: Evidence from prison factory data","10.1016/j.ceqi.2021.04.004","This study examined the causal relationship between air pollution and labor productivity, by adopting prison factory data for a perfect measure of labor productivity. To address the endogeneity of air pollution, an instrumental variable strategy was used. The results showed that a 10-unit increase in air pollution index led to a significant decrease in labor productivity by 4%. A nonlinear relationship between air pollution and labor productivity was also suggested, which implied that the extreme air pollution reduced labor productivity heavily. This study emphasized the negative externality of air pollution on labor productivity. © 2021 The Authors",1,1
"2-s2.0-85030564540","Productivity effects of air pollution: Evidence from professional soccer","10.1016/j.labeco.2017.06.002","We estimate the causal effect of ambient air pollution on individual productivity using panel data on the universe of professional soccer players in Germany over the period from 1999 to 2011 matched to hourly information on the concentration of particulate matter near each stadium at the time of kick-off. We exploit exogenous variation in players’ exposure to air pollution due to match scheduling rules that are beyond the control of teams and players. The results of our analysis reveal statistically significant negative effects of air pollution on players’ productivity, measured by the total number of passes per match. Allowing for a non-linear dose-response relationship further reveals that our findings are not driven by extreme levels of air pollution. Rather, negative effects already emerge at moderate levels. © 2017 Elsevier B.V.",1,1
"2-s2.0-85093943458","Is air pollution detrimental to regional innovation? Evidence from Chinese cities","10.1111/grow.12445","Could the negative effect of air pollution be a threat to regional innovation and stunt economic growth in the most polluted Chinese cities? Considering that the generation of innovation can greatly rely on skilled workers and their productivity, this paper examines the association between air quality and regional innovation. An instrumental variable for air quality—the central heating policy—is used to address potential endogeneity problems. The results suggest a growing negative and significant impact of air pollution on city-level innovation. A corresponding mechanism analysis rules out the possibility that self-selection of skilled workers has accounted for the negative impact of air pollution on innovation and consequently infers that the productivity effects may have explained the negative impact. © 2020 Wiley Periodicals LLC.",1,1
"2-s2.0-85194752345","Firm Innovation in Hazy Days: Chinese Evidence","10.1007/s10640-024-00878-7","This paper estimates the causal effect of air pollution on firm innovation based on a nationwide sample of Chinese manufacturing firms. Using thermal inversion as instrument variable (IV), we demonstrate that air pollution significantly hurts firm innovation performance: a 1% increase in air pollution (PM2.5) in the past year, from its mean value, amounts to a 1.5% decrease in the number of invention patents compared to the average between 1999 and 2013. We also provide the casual estimate using regression discontinuity design (RDD) by exploiting the exogenous variation in pollution level caused by China’s Huai River policy: the decrease in firms’ invention patents is approximately 2.2% in the regions north of the Huai River Line. The underlying mechanism analyses reveal that poor air quality has detrimental effects on labor productivity, firms’ human capital accumulation, and financing ability. These findings highlight the substantial costs associated with air pollution, which are greater than previously thought, as it hinders innovation, a crucial driver of long-term economic growth. © The Author(s) 2024.",1,0
"2-s2.0-85100355303","Air pollution and income distribution: evidence from Chinese provincial panel data","10.1007/s11356-020-11224-x","In recent years, air pollution has caused an increasing number of problems in China. Individual health and labour productivity, which are affected by air pollution may affect income distribution. Therefore, this article will analyse the effect of air pollution on income distribution. We investigated the evolution of air pollution in China over the past two decades. Fixed-effects and random-effects estimation approaches were used with data from 30 provinces in China from 1998 to 2017 to analyse the effect of air pollution on income distribution. Empirical results reveal that air pollution significantly worsens income distribution in China. Then we explored the mechanism by which air pollution affects income distribution, and found that increasing health expenditures and declining labour productivity mediate the effect of air pollution on income distribution. Considering the potential endogenous problems of air pollution affecting income distribution, the simultaneous equation model and the instrumental variable approach are employed to overcome endogenous bias. Traditional mean regression was empirically found to overestimate the impact of air pollution on income distribution. Finally, some policy implications are proposed to improve air quality and income distribution. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",1,0
"2-s2.0-85133300979","Air pollution and the domestic value-added for Chinese exporters","10.1016/j.cjpre.2022.03.003","This paper evaluates the causal effect of air pollution on the share of domestic value-added in exports for Chinese exporters. Precipitation is employed as an instrument for air pollution to alleviate the endogeneity. Our baseline instrument variable estimation identifies a significant and negative effect of air pollution on the share of domestic value added in exports. Specifically, each 1 mg/m3 increase in yearly PM2.5 exposure is associated with 3.144 7 units decrease of the domestic value-added rate of firms’ exports.This result holds when wind speed,air flow index and thermal inversions are used as alternative instruments. Further, it is shown that air pollution is detrimental to the health of employees, and also has negative effect on firms’ productivity as well as firms'innovation capacity. All of these may have a negative effect on domestic production and therefore reduce the share of value added done domestically. Lastly, greater effect is found for the central region, the east of Hu Huanyong line, cities of low altitude and high pressure, and also for foreign-invested firms. This paper provides empirical evidence that air pollution may affect the organization of global production, i.e., the share of domestic value added in Chinese exports, and it certainly contributes to more comprehensive understanding of the effect of air pollution. © 2022 The Authors",1,0
"2-s2.0-85125639057","Does air pollution affect earnings management? Evidence from China","10.1016/j.pacfin.2022.101737","By utilizing listed firms inand China from 2014 to 2018, this paper investigates how air pollution affects firms' accrual earnings management. Empirical results show that higher air pollution promotes a firm's earnings management. Next, we conduct a series of robustness checks, including a random discontinuity design regression and an instrumental variable regression; and confirm the causal effect of air pollution on companies' earnings manipulation behaviors. Our results indicate that air pollution affects earnings management by lowering labor productivity and strengthening executives' negative sentiments. In the additional analysis, air pollution transfers firms' real earnings management to accrual earnings management. Finally, we found that the positive effect of air pollution on earnings management is more pronounced in firms in low polluting industries and non-state-owned firms. In summary, our study not only enriches the literature on how the external natural environment reshapes firms' behaviors but also contributes to the literature on the determinants of firms' earnings management. Our research could also provide policy implications for developing countries to balance the relationship between environmental protection and economic development © 2022",1,1
"2-s2.0-105032424896","Does pollution affect exports? Evidence from China","10.1016/j.jce.2026.02.006","This paper examines the effects and mechanisms of air pollution on firm exports using Chinese firm–product data (2000–2007) and thermal inversion as an instrumental variable. We find that a 1% increase in PM2.5 reduces export values by 0.65%, with the 28% pollution increase over our sample period reducing overall exports by 18.30%. We identify two channels through which pollution affects exports: Pollution reduces labor productivity (0.83% decrease per 1% increase in PM2.5) and trigger environmental regulations (lowering exports by 20%–25% based on spatial regression discontinuity estimates). The effects are stronger for low-productivity firms and labor-intensive industries. Our results highlight significant economic costs of air pollution as it reduces international trade. © 2026 Association for Comparative Economic Studies.",1,0
